Column1.cantidad_Cargadores;Column1.cargadores.cantidad_Conectores;Column1.cargadores.conectores.cable;Column1.cargadores.conectores.carga;Column1.cargadores.conectores.identificadorConector;Column1.cargadores.conectores.potencia;Column1.cargadores.conectores.tipo;Column1.cargadores.identificadorCargador;Column1.cargadores.marca;Column1.cargadores.modelo;Column1.cargadores.potencia;Column1.cargadores.tieneCables;Column1.comuna;Column1.direccion;Column1.empresa_Dx;Column1.inscripcion;Column1.fecha;Column1.latitud;Column1.longitud;Column1.nombre;Column1.propietario;Column1.region;Column1.rut_Propietario;Column1.tipo_Instalacion;Column1.horario;año;mes;día
2;1;NO;AC;1382-1;44;AC-Tipo 2 (Menneke);1361-1;EV BOX;S3162-1100;22;NO;Valparaíso;AV. ARGENTINA     1;CHILQUINTA;1999746;09/05/2019 18:26:39;-33,042573;-71,604823;Edificio Chilquinta Barón;CHILQUINTA   ENERGIA S.A.;Valparaíso;96813520-1;Servicio de recarga Pública (BNUP);;2019;5;9
2;1;NO;AC;1382-1;44;AC-Tipo 2 (Menneke);1361-2;EV BOX;S3162-1100;22;NO;Valparaíso;AV. ARGENTINA     1;CHILQUINTA;1999746;09/05/2019 18:26:39;-33,042573;-71,604823;Edificio Chilquinta Barón;CHILQUINTA   ENERGIA S.A.;Valparaíso;96813520-1;Servicio de recarga Pública (BNUP);;2019;5;9
1;3;SI;DC;504-1;50;CHAdeMO;284-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;San Carlos;Ruta 5 Sur KM 380 Ruta 5 Oriente San Carlos S/N;CGE;1944745;01/02/2019 12:57:31;-36,47158252;-72,0075375;COPEC San Carlos;COMPANIAS DE PETROLEOS DE CHIL;Ñuble;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;2;1
1;3;SI;DC;505-1;50;CCS Tipo 2;284-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;San Carlos;Ruta 5 Sur KM 380 Ruta 5 Oriente San Carlos S/N;CGE;1944745;01/02/2019 12:57:31;-36,47158252;-72,0075375;COPEC San Carlos;COMPANIAS DE PETROLEOS DE CHIL;Ñuble;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;2;1
1;3;SI;AC;506-1;43;AC-Tipo 2 (Menneke);284-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;San Carlos;Ruta 5 Sur KM 380 Ruta 5 Oriente San Carlos S/N;CGE;1944745;01/02/2019 12:57:31;-36,47158252;-72,0075375;COPEC San Carlos;COMPANIAS DE PETROLEOS DE CHIL;Ñuble;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;2;1
1;3;SI;DC;519-1;50;CHAdeMO;202-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Valparaíso;Placilla KM 105 S/N;CHILQUINTA;1944079;31/01/2019 17:50:32;-33,12795609;-71,56282245;COPEC Placilla;COMPANIAS DE PETROLEOS DE CHIL;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;DC;520-1;50;CCS Tipo 2;202-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Valparaíso;Placilla KM 105 S/N;CHILQUINTA;1944079;31/01/2019 17:50:32;-33,12795609;-71,56282245;COPEC Placilla;COMPANIAS DE PETROLEOS DE CHIL;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;AC;521-1;43;AC-Tipo 2 (Menneke);202-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Valparaíso;Placilla KM 105 S/N;CHILQUINTA;1944079;31/01/2019 17:50:32;-33,12795609;-71,56282245;COPEC Placilla;COMPANIAS DE PETROLEOS DE CHIL;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;DC;513-1;50;CHAdeMO;205-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Llaillay;Panamericana Norte Km 83 Ruta 5 Poniente S/N;CHILQUINTA;1944154;31/01/2019 18:43:25;-32,84234783;-71,00309217;COPEC Llay Llay;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;DC;514-1;50;CCS Tipo 2;205-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Llaillay;Panamericana Norte Km 83 Ruta 5 Poniente S/N;CHILQUINTA;1944154;31/01/2019 18:43:25;-32,84234783;-71,00309217;COPEC Llay Llay;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;AC;515-1;43;AC-Tipo 2 (Menneke);205-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Llaillay;Panamericana Norte Km 83 Ruta 5 Poniente S/N;CHILQUINTA;1944154;31/01/2019 18:43:25;-32,84234783;-71,00309217;COPEC Llay Llay;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;31
1;3;SI;DC;465-1;50;CHAdeMO;206-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Santo Domingo;Teniente Cruz Martinez 70;CHILQUINTA;1943182;30/01/2019 17:59:47;-33,64615493;-71,62459551;COPEC Santo Domingo;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;30
1;3;SI;DC;466-1;50;CCS Tipo 2;206-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Santo Domingo;Teniente Cruz Martinez 70;CHILQUINTA;1943182;30/01/2019 17:59:47;-33,64615493;-71,62459551;COPEC Santo Domingo;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;30
1;3;SI;AC;467-1;43;AC-Tipo 2 (Menneke);206-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Santo Domingo;Teniente Cruz Martinez 70;CHILQUINTA;1943182;30/01/2019 17:59:47;-33,64615493;-71,62459551;COPEC Santo Domingo;COMPANIA DE PETROLEOS DE CHILE;Valparaíso;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;30
1;3;SI;DC;483-1;50;CHAdeMO;283-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Parral;Panamericana Sur 339 S/N;LUZ PARRAL;1943225;30/01/2019 18:32:52;-36,1335276;-71,80767659;COPEC Parral;COMPANIA DE PETROLEOS DE CHILE;Maule;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;30
1;3;SI;DC;484-1;50;CCS Tipo 2;283-1;ABB;TERRA 53 CONFIGURACION CJG;72;SI;Parral;Panamericana Sur 339 S/N;LUZ PARRAL;1943225;30/01/2019 18:32:52;-36,1335276;-71,80767659;COPEC Parral;COMPANIA DE PETROLEOS DE CHILE;Maule;99520000-7;Servicio de recarga Pública (Vía interurbana);;2019;1;30
